video_name,f-init,n-frames,video-frames,label-idx
b5GrYqt5tRQ,200,163641,164059,Capoeira
jgNeMnPVfkQ,0,1757,1764,Playing ice hockey
r2oMItb5EVM,0,3272,3273,Making an omelette
gF14lRI0HUM,1223,17879,19148,Doing kickboxing
7tdlcmbuLOA,572,133,6118,Wakeboarding
E7NTSqMgx44,0,447,562,Drum corps
KvscV2XxyTE,231,2807,3090,Using the balance beam
hjsu3SGAdLs,107,1168,3283,Playing piano
dAa10hlgxCY,202,6394,6843,Baton twirling
UxlDSfC7S-0,650,4033,4683,Mooping floor
mvQxhjjVWOk,15143,158597,176483,Triple jump
WBkqGBFsdgI,1280,184,3018,Shuffleboard
jmmOBfS3JIg,3109,33,3146,Polishing shoes
fxlTN3mCWDA,523,4456,5090,Playing congas
0UcBldDI0RA,0,4230,4690,Welding
SID0y9y6Uk4,0,209,4196,Doing fencing
dWBnXy2nauU,103,638,756,Hammer throw
uPqh5uA1mhA,783,1806,2952,Shot put
8l7SuE4_lCk,0,13630,13669,Brushing teeth
5TV-V6Cxero,981,1843,4266,Starting a campfire
Yojuicji624,261,3808,4403,Slacklining
lGwUq5vZGEk,63802,114343,236408,Braiding hair
G16xScfD5WM,228,1951,2485,Capoeira
WltsIClflnA,0,1036,1036,Swinging at the playground
xYuqZ_RrCC0,353,1836,3066,Shaving
C5KcdwGSvbw,321,1717,3267,Baking cookies
YcDlkZkPb6g,1651,4263,6254,Layup drill in basketball
s9Q8SZbixV4,2771,4073,7035,Cumbia
EcQ7DcVefdw,200,3589,3788,Polishing shoes
1G3rv9ssDY4,11220,85801,105742,BMX
KRfdZgxLZPY,149,3882,4311,Skateboarding
MYRsm8m9mk4,192,985,3529,Tug of war
wvewX55VADs,2606,2485,5202,Tango
352jrqIWSFY,22,179,215,Doing a powerbomb
FGAlwzRvAHg,473,3588,4397,Waxing skis
DU36SNYN-rw,34786,26348,110348,Disc dog
55bimE5eU9E,462,1828,3410,Snatch
Jz9ZxenBLa8,10,107357,117169,Riding bumper cars
o2mqzjWJJNw,339,1501,2175,Welding
unz00-r84NY,10,49611,49625,Hurling
6gZuc4umTPk,21457,201486,233091,Doing nails
qI_Bo0D6p7I,2415,209495,221257,Hula hoop
qsTCTQo-wI8,889,4924,5885,Playing congas
NsYBZUTzgDw,261,729,990,Clipping cat claws
w6ofRgXA0xc,943,1345,2987,Starting a campfire
tuhHQ-lHIs4,23730,30296,95608,Dodgeball
PpbBWqlsbxk,608,2694,3708,Rafting
drfE5oASHaU,423,188,6032,Paintball
3Y46yorcd5Q,307,5563,7012,Surfing
xBtydVn3MVI,491,4042,4691,Shaving
p4RUPQAV0ro,5392,21678,34247,Clean and jerk
IN8-B39kq_k,87,87,2001,Getting a tattoo
cwhkG3LhZO8,610,4406,5027,Playing guitarra
dojDT4CtenU,1621,114,1922,Cricket
HdNOiIdGqvE,1184,213,1711,Washing hands
f7qFnCkFIuQ,80,955,1031,Painting fence
dUa0E0ASviM,11779,67803,92202,Tug of war
NKNgAE07TIQ,1218,3142,5071,Mixing drinks
xIU6DO35R_c,225,316,810,Polishing shoes
qi_6u0mMJQM,597,820,5161,Installing carpet
Ffi7vDa3C2I,10933,189287,200255,Rollerblading
KGIDKn3t2Qk,1578,3615,5650,Mixing drinks
WhEdTfs7U5E,5,226,4265,Playing beach volleyball
0-F3q8Aj9Zk,48,213,6214,High jump
9rW35YTKYq8,452,1568,5678,Playing violin
0acEl97ZBME,7405,16324,102792,Smoking a cigarette
Hxb8D4W-G0I,0,4231,4652,Longboarding
8cKjwHtCGU0,560,1502,2446,Playing racquetball
0rDb-zfhH0E,2284,3619,6025,Doing karate
qS7TStZg_5c,0,172,174,Playing guitarra
3K62qZ2hGyw,192,3569,3857,Belly dance
6iuD3pSgBcw,525,5411,6237,Playing drums
l8TsSm4Yh4M,2287,1457,4094,Paintball
wkJWeSw8FSE,147,470,627,Starting a campfire
mbmMY04yMUA,504,3541,4044,Washing dishes
WaWkDf6b_j4,397,1389,2043,High jump
WXQol1TisqE,574,1172,1814,Calf roping
7hRls13HJow,309,2963,3312,Mooping floor
STgbw-zqZJM,3,430,447,Blowing leaves
uOmCwWVJnLQ,89547,17542,107102,Using uneven bars
ki2kGFwczMg,82,1985,2100,Javelin throw
hQ4xkr6VpnA,351,524,2385,Braiding hair
1Cdqwg7Giv4,496,487,5581,Discus throw
7Lkcan0X5VA,251,3315,3663,Playing saxophone
r8RJSDKy9iA,6789,92127,98847,Putting in contact lenses
qm1dudWLlUg,22,215,456,Drinking beer
wxoe1M2L4Qo,1944,89,5191,Scuba diving
bkRQgwbP0WM,18,812,864,Playing rubik cube
bx5ZHOUG-nI,217,1254,1796,Hand washing clothes
4rKTw99bM8g,0,282,285,Kayaking
KptXzRFIvTw,764,128,4328,Decorating the Christmas tree
axoyB4pypWY,1384,2158,4162,Disc dog
fGDVlbI90pw,3,147,185,Brushing hair
zpJ91CkCiyw,554,253,3254,Rollerblading
ILgkiTHnGVI,115,1549,1802,Tai chi
y-HkIwa-jWM,11,352,417,Playing kickball
72F30o9V8v0,1244,4092,6090,Horseback riding
b5E7-GxvCdk,0,524,569,Cutting the grass
lhnhGI-rrzM,5,2419,5415,Longboarding
A6DBt7UgWEg,697,1257,6249,Playing badminton
ihMn28mft2s,1567,41,3776,Volleyball
qRFZMO_mTGU,1165,136,3438,Playing field hockey
3HBAcaU552I,0,632,3714,Gargling mouthwash
wOwWidUOaxc,502,1422,2197,Sumo
rFx-j3NhSgI,222,1053,1397,Baton twirling
v1FHFQ1UZHw,2175,1060,3938,Hanging wallpaper
6iA4RXGAR_k,1224,62367,64078,Tango
YU0DjX7wvRA,0,3446,3445,Clipping cat claws
UO9bRJmfMzI,463,1935,6462,Removing ice from car
95L-8JtlwRU,608,2551,3785,Cleaning shoes
aFpWNTroghs,636,1778,2790,Spread mulch
xAI1y9izXOM,256,900,1226,Arm wrestling
tjuYS-6UC_M,3984,101,5022,Hitting a pinata
CUtkQIV2eto,463,5551,6196,Waterskiing
ZoKZTceDTLA,874,3647,4947,Laying tile
QJmoA3byOzo,310,496,5682,Hand car wash
UD4RnQp5tPY,1710,2369,6603,Shaving legs
mOVPZhGyUrs,114,1300,2033,Ping-pong
eaFvnf8IF-I,10,66770,66717,Playing accordion
YAbfhT3fhac,135,771,2249,Cheerleading
9nh_6Hzg_aw,2841,2684,5777,Cleaning windows
mnS-nMZne3I,1,271,274,Springboard diving
x4qwV0Ti1Og,0,359,1728,Snow tubing
79LyHiS908U,0,1903,2106,Playing congas
p4YTDxTASBI,0,1011,1008,Canoeing
TQepyWudKYQ,271,579,948,Cricket
SMhW9V-cJsQ,0,767,822,Welding
8M_RipfsJI8,0,887,944,Hand washing clothes
1GXQLnTalcg,257,149,3294,Brushing teeth
pZzTMUJG9Rk,5012,31077,214204,Futsal
KEUJ7ulD-_A,3590,2163,5752,BMX
Mk9n7isIyBs,186,3194,3406,Baton twirling
loYCYGQpGRw,0,3883,5057,Preparing pasta
V1NtrnPz3sA,0,1978,1977,Shot put
r5oPTDuHhoE,676,415,1235,Playing field hockey
KwY8nf4MqR4,6671,25993,33933,Tennis serve with ball bouncing
modITAJlP_0,124,690,2095,Elliptical trainer
vNyXwHA_k5A,1815,616,4439,Playing drums
EsYsshh2CyA,254,1810,2063,Mixing drinks
u3nOmvgcs84,1093,3855,5188,Making a sandwich
9DIDpTlfBWs,14487,141335,162952,Making an omelette
CsCbJSnAhRs,458,1234,2602,Baking cookies
ZdwkA72VMKE,200,9654,16070,Curling
1qi8ZXUH_wY,0,1833,2473,Wrapping presents
dcclQadR-L0,199,864,1156,Playing polo
TssNxg5XJ-o,5,2788,2799,Ice fishing
h-_dzZ3cCfc,1187,31,4088,Playing lacrosse
8381XS5ZDNs,775,517,1718,Spinning
v7o9uSu9AVI,0,5321,6074,Using parallel bars
5Qav3tLfiZA,0,5808,6660,Kneeling
rhfoyYzp93Q,0,2011,2010,Canoeing
bzZMUbtgZho,335,162,5482,Surfing
YuCMWTdK_DY,459,398,900,Discus throw
EML3BvJxknA,234,2738,3487,Waterskiing
yCAsVc5Tb_0,9920,145499,163011,Cheerleading
QdmUojrWdmE,213,356,5715,Surfing
sgwg1C3i-Vw,1240,1162,2956,Canoeing
QePg4GKh3rw,323,1130,1635,Using uneven bars
c6ie4KwFnAs,16151,111378,215645,Futsal
_ENXbB6aaa4,257,3060,4083,Longboarding
hpU50i4WBK8,237,6686,6921,Scuba diving
Mvw0hvMeM-w,1228,3737,5402,BMX
88qqQjRPFUQ,647,120,926,Fun sliding down
arfBwR8qgPw,3155,2053,5409,High jump
L6Uf3epn3zA,350,140,5619,Canoeing
nuEK3POl9jA,318,634,1196,Clean and jerk
TlDkQ8SNG64,161,605,773,Camel ride
iEGYd3DJ3Wo,0,523,522,Playing ice hockey
faF9-lWmK3Y,13629,56847,71628,Hand washing clothes
FGtoyNOi6gg,408,280,3150,Bungee jumping
KOFXi1RYx_g,5517,59649,79112,Playing polo
F_DHgp5hERs,0,3329,3330,Using the rowing machine
WmPkqkqAxyc,0,1156,1170,Cutting the grass
kdQfR6oqJ_M,0,618,2000,Playing polo
7Ozl-ud1zTo,249,550,4648,Surfing
nSR-JSqGoWQ,10,143031,143099,Beach soccer
YmhbwAv0Xbc,6265,80273,125496,Snow tubing
YIYZHQUOtnA,451,1770,2953,Playing ten pins
3cmHM1Yu92s,130,596,2259,Elliptical trainer
ucR3VztMyeE,6,859,916,Using the monkey bar
b1RAYvxWawA,6,402,5452,Canoeing
eQnwUWfah9w,17323,134391,168207,Futsal
lM3uGxHWZBA,67,185,3591,Cricket
6d9z33GFEGo,1415,3157,4973,Preparing pasta
O0nOzufJ_OM,656,423,5428,Discus throw
RoAtTRjWKEg,0,201,207,Using the balance beam
KpOSIph2hHw,162,1573,1877,River tubing
wohWWAB47KM,0,221961,222224,Wakeboarding
PLvg8riZZVw,6,4562,4768,Ice fishing
NwfS7eZiMLg,2092,1765,4036,Playing bagpipes
Hcoc9euI0tk,5,2061,2074,Skiing
SXRSA62VbZg,2568,2706,5922,Getting a tattoo
wsmMniNThlI,32,4168,4220,Horseback riding
dSOVaLk3ZmU,0,250,249,Kayaking
ZT63nK4lexg,1257,1139,2788,Using parallel bars
JKFxKhCQPUs,274,942,1374,Using the pommel horse
4mfnfTpcfck,443,1311,2015,Drum corps
Gl8HTsP7Jfk,41306,86523,150063,Playing lacrosse
Cx6oTdEq40w,0,1012,1305,Rock climbing
LSCQ1yqocHg,177,162,589,Washing hands
BD_ON66t6rM,1748,46457,48708,Canoeing
PgS2F7NxNBg,214,3982,4378,Painting fence
LTmYxVYBa90,0,852,851,Camel ride
e0E2EVuhYu0,0,5062,5061,Scuba diving
YJTz7mpI-mY,14370,32147,47451,Shaving
vNzTWjEFr-Y,25082,43121,69460,Playing guitarra
nt9tMdFVQ1c,5,435,446,Playing beach volleyball
vbLxVuLLPek,181,1252,1801,Playing bagpipes
zEdAxKm9SLA,2228,665,3671,Trimming branches or hedges
VuEy38XdUgA,0,2943,2947,Shuffleboard
3ZUy7h-dN38,0,5514,5710,Playing guitarra
xfVx1-emCV8,1635,659,2712,Curling
5yGj9JooT_Q,16,1155,1256,Archery
SBJWn8AjK-4,287,1521,1807,Swinging at the playground
ZpwXqrCxcGg,539,371,1508,Plastering
_i_ERtwvcJE,103,729,947,Beer pong
RmuhtC-TCck,1590,132,5297,Breakdancing
xootaiXcXZw,6959,159815,171960,Capoeira
LHe5cTzHB3o,996,47549,62302,Doing kickboxing
Kq115s7yL3I,1668,132,4251,Cleaning windows
klqHoK_8ar8,8006,115023,125140,Painting fence
zlXs92vjuSU,4204,1829,6587,Getting a piercing
2eep4G5Tgho,0,799,799,Cutting the grass
qyssgQ2xq2M,686,4200,4887,Doing nails
DIF8qouivIU,0,5567,5566,Doing fencing
FRjVP5r9rqc,12123,55009,80696,Hand washing clothes
QLACTCzs0R0,0,1415,1414,Tug of war
7lNAmkaMyyg,0,327,326,Removing ice from car
P0N68OQDhNs,2669,64,6841,Long jump
VNROQWtYhlw,347,4960,5307,Having an ice cream
0-ReTddxkhg,84,664,749,Gargling mouthwash
mfK2jcMGe1Y,541,635,1247,Brushing hair
3I6LMFdA2lc,28,2516,2588,Brushing hair
40Sf-iICgzw,6,1061,1116,Playing congas
7rf06_5zNJk,3828,171,5328,Belly dance
B2HIj_QWaG0,0,2647,2718,Playing violin
D_xht_r3n54,10,21747,21786,Removing ice from car
dcmfRooP6dg,296,4608,5944,Painting
XxyTLG8B-Ns,861,2488,4321,Riding bumper cars
insSTTMSC38,240,2617,5325,Elliptical trainer
N7ppHQNikv8,0,1986,1985,Building sandcastles
gRqvh21b8Hw,570,263,4683,Plataform diving
33SI8z8PovA,40461,62822,227344,Washing face
bXrdB5AASAM,279,2235,4476,Capoeira
OYPyiUC4h68,63,3998,4073,River tubing
p8uTRV3u3JM,0,2368,2382,Volleyball
uUzmPV8Vgqg,13480,81332,115997,Bathing dog
G5gvb71BB5I,622,4091,5068,Beach soccer
SHfFrzy_fKM,18684,49721,78367,Camel ride
y4Y8gD1mpTw,2894,543,4702,Doing nails
0UR4hXxt68E,295,4513,4987,Cheerleading
8kGiDHAnTqY,33121,65427,174080,Fun sliding down
JhoGvKrhs8s,84,2601,2892,Playing bagpipes
DYahQgHG1Gk,616,991,3379,Playing drums
MBouLt-hXDU,1525,1095,5852,Making a cake
qfCqVXhNPE8,3744,519,6543,Removing curlers
IkjulgI7gzg,617,2714,3578,Snatch
i5kuZ8zlhMg,2567,237,6084,Playing water polo
djQnCU5MNJg,5,238,249,Swinging at the playground
P49Ci0Ph8eU,232,1145,1636,Using parallel bars
UpnFBPGFgnw,772,138,3055,Changing car wheel
Zev1KxIua7o,5,4078,4212,Drum corps
4j7_nh61bvo,337,114,3330,Sumo
dB4SbhaQQV8,5070,15844,22519,Playing kickball
jmPV_y8YntQ,960,2969,4023,Rope skipping
vSAHWgFjQAY,525,2780,4738,Cumbia
vr0Wi359kWM,1551,2366,4143,Cleaning shoes
M_OPqcaCDYI,1463,3070,4760,Rafting
TsPh4-BsCYk,1075,1778,4031,Hammer throw
qK2iRSxxRQU,55,6909,7085,Belly dance
5-ydqbn30kA,200,30007,30407,Knitting
XkOO6lc5vxw,374,342,1687,Trimming branches or hedges
Tv3v-UpBJ2Y,0,3572,3573,Tug of war
fO2fWjYEhMc,5,779,782,Croquet
M1hPI8WvySo,1384,5068,6697,Wrapping presents
Z9gstJONME4,227,105,1056,Doing crunches
DyVqsDJYXdM,95,2002,5303,Cricket
61sN9tqZHwk,465,968,2042,Grooming dog
E33xUgVqEH0,5,811,836,Cleaning sink
ICzctKJ6nqc,911,341,6270,Hula hoop
ykcLgz3DlYg,2044,1228,3991,Making a cake
2Ua6E2a6kT4,302,865,1333,Painting fence
awag66wjX4k,791,3512,4830,Assembling bicycle
yEFS8M4pgMU,0,4845,4845,Tug of war
1JEQbXJC85w,1551,4257,6711,Preparing salad
9ddD5Ob93J0,751,2208,3366,Changing car wheel
_mupI51ie9A,3,1044,1050,Playing racquetball
F1-PnXa9SwQ,359,626,990,Cutting the grass
nGOEmEDesPI,507,257,5001,Snowboarding
WnLYDJ8Jwv8,91755,42505,134274,Washing face
61iCOJ3Meus,33,96,213,Doing a powerbomb
mi_zRluISrE,563,3744,4946,Laying tile
qX7UMKN6ygM,199,77558,87667,Beach soccer
F4eF_nO2UFs,804,5287,6442,Assembling bicycle
sWEbq5Ry63Q,2146,4675,7017,Fixing bicycle
ZOczr9WCVig,0,6524,6776,Laying tile
6EKVtCJ2nrs,541,741,1550,Bungee jumping
79gvzh0wn0Q,0,1508,2267,Doing karate
18QVPZgjy8w,1881,355,3969,Playing badminton
r3dM-5cZ7e8,412,1270,1680,Swimming
vlwOSDuiKQA,278,5420,6041,Playing racquetball
MXN34b2OUjQ,251,417,740,Playing field hockey
RX8YG2zlyUo,857,1397,2558,Horseback riding
lIXHKxbq59c,689,1406,2145,Snow tubing
UojTppgtyCE,1693,2123,4110,Trimming branches or hedges
ACki-MP9qdQ,824,642,2433,Mixing drinks
OtcRXishIxw,0,2522,2520,Hitting a pinata
KHOTebb8UC8,2576,1281,4438,Elliptical trainer
fVzpG-QQ1n8,13468,5611,180002,Clipping cat claws
dZMMhVx7yY4,950,268,4914,Rock-paper-scissors
QBy64z68s0w,268,2403,2910,Using the balance beam
vr7iD3pjmSU,422,1154,2376,Archery
VbhCWRXsEHQ,1371,2467,4415,Baking cookies
90LkAH4tZC4,2,1522,1611,Playing drums
bRVazNYfpGE,1527,1173,2834,Using the balance beam
ILARi15rMWI,4,1322,1331,Powerbocking
n9xULD7oYXc,0,1047,1046,Knitting
pleP5-tuJ_Q,6,3459,4275,Knitting
SHZ9fsusMGc,0,1093,1620,Playing rubik cube
R_HDifqMHSY,461,3720,4844,Playing drums
YZacstLO0XA,395,2313,3253,Making an omelette
on2DKKcvWhE,55331,41665,213686,Mooping floor
Ox16PeB954Q,52,953,1115,Smoking hookah
FMlWHXByLL0,0,2079,2079,Rope skipping
J8WxSDLZwu0,200,40541,40986,Hurling
c5Io6wg8D60,511,163,1045,Triple jump
X74SOIQRD4M,145,86,243,Playing lacrosse
iXLXRHHFp60,2404,2577,5170,Playing polo
0z7qHOca3D4,491,437,3460,Horseback riding
7hEUl8lziZs,6,679,690,Laying tile
5Owjrx-YjjM,1342,831,2183,Kite flying
CQweu0ZYNHU,892,244,2410,Skateboarding
kC8DS6b76yI,37,593,658,Painting furniture
liI1E_ZZV5w,48,189,328,Putting on shoes
EjaS2rW81S4,1017,57,4142,Building sandcastles
d3Rx-nw5Zlw,234,5287,6017,Smoking a cigarette
pVkwQOp1xZo,5,1354,1365,Painting fence
5olJd75WWFw,365,1158,2137,Polishing forniture
D_GSISuQw3Y,923,1237,3004,Doing nails
CoHVA7nr82A,3750,249,6163,Welding
w--HmpjK-s8,1189,471,2159,Playing congas
TBFAAb62ou4,105,1104,1357,Playing guitarra
D-y_N4u0uRQ,598,443,1824,Smoking a cigarette
1R25VGmqS9o,0,1081,1079,Playing field hockey
gCxLG4hinNw,3298,39856,88085,Playing bagpipes
ewTlNriXY3c,59,2830,5464,Tug of war
LNlGgtg70uQ,165,2195,2361,Mixing drinks
aAZSPRL18Ss,2364,31162,78158,Spinning
NDvp3JeVWcM,235,658,3768,Using uneven bars
Mgvj2B6MyjI,405,123,528,Springboard diving
L2jO-evVIRE,5,1203,1863,Raking leaves
520b6oA9s-U,1437,3470,5615,Making a cake
bAD_-DEgubk,73,1543,1737,Playing lacrosse
T-vwsIOVNTw,20,169,195,Playing kickball
So3EfVyUP64,111,1665,1910,Ironing clothes
Mcutz37Bowg,59,1529,1727,Wrapping presents
8Zgys8Vn-4Y,200,168971,178145,Waterskiing
V3uCGRAWG2M,121,2239,2603,Fixing bicycle
uokQq9Xrjf8,107,543,779,Kneeling
K5X_ytiMuqc,1222,2014,3333,Applying sunscreen
XPN_PSadJ_A,29336,45509,82913,BMX
bCtiTOEf9KI,18,386,426,Doing crunches
rBsRSdPFOww,50451,13847,77147,Sharpening knives
bKec2fA5RZ8,158,1297,5437,Vacuuming floor
VLQQVNIZQqo,656,409,1581,Hammer throw
7KYj4FQUESo,688,27949,29492,Vacuuming floor
I6riV09yqm8,166,920,1439,Using uneven bars
UUjXw1xjprU,1126,2033,5725,Skateboarding
Rn_frSrkkbM,2,467,1837,Cricket
EmlmKZ6Gi3Y,41863,155008,205196,River tubing
yJgC3-t_ciw,5,1822,1834,Table soccer
kr4RUFi1UGs,25,1038,1088,Rock climbing
dLOwmXV_yTw,10,109429,115357,Wrapping presents
UlGX-5x0Mak,6,699,751,Having an ice cream
TUhitcbJ5C4,35,667,2096,Washing hands
MyPQ_e4dGDw,742,5432,6519,Making a lemonade
K-r_Tj7uFGw,35,858,899,Getting a tattoo
M0cKfbLMlSA,450,5718,6286,Doing kickboxing
piKE8obU4JY,2924,63501,69486,Drum corps
AR-VPPtV7ag,138,77,262,Drinking beer
wDlbcTFI90o,484,1170,2266,Laying tile
XFZ5_uNU7jE,176,2028,2401,Peeling potatoes
bfZZdTPYmos,213,5117,5703,Playing congas
QvP8tPp8Wog,0,1685,1926,Playing guitarra
KuAVv3uS4zc,427,4319,5173,BMX
SV-8M3HNk1s,5,96,6247,Windsurfing
G_Nzm0WkGEI,75,1080,1271,Ironing clothes
qwJhmfZKdNQ,137,58,1129,Trimming branches or hedges
Fhk2t6beztU,6,418,431,Rollerblading
COeXmBZpLSE,306,2957,3324,Tango
bqBJ1tcHCHk,1155,664,2422,Grooming horse
GEmuTigZlYA,0,2289,2290,Grooming dog
nDggAkf1ulc,177,679,1532,Hopscotch
Xm23RMCpDd8,171,198,1236,Discus throw
oLEagb_RGq8,0,18297,18312,Mowing the lawn
jLwUrFMRGzY,349,2007,2353,Tai chi
l7nsRRyzD4k,0,439,779,Building sandcastles
IVHmmp3Nsd4,430,5309,6063,Painting
QeIsJBPG8EM,5,307,310,Hurling
BV4zqyN8hLs,0,4841,4838,Wakeboarding
OjQHQptSXk0,0,3333,3362,Drum corps
cvEOK7xAPSs,207,21,2010,Slacklining
iM8ZD2PwKDg,2086,698,3818,Doing step aerobics
Ouy1exEw_dI,533,1833,3228,Waterskiing
y-7ZKlq2UFw,303,303,3600,Playing guitarra
5ohc1_X2W80,5759,25333,60526,Mowing the lawn
96kej9yK8To,0,3584,3871,Playing violin
3vs3ofTw1vY,506,5793,6619,Snow tubing
AWXdK-ix3gQ,870,473,1411,Using the pommel horse
tDG8VoRQTuM,1306,3628,5198,Powerbocking
5aMigcn2cU8,448,5038,5871,Zumba
5OhIRnEFMyw,2059,610,6517,Playing violin
fUivipdikFU,1459,3121,5101,Doing step aerobics
e1tC-0BSwV4,143,1557,2096,Making a lemonade
cXw6os9Xk5c,0,817,816,Playing drums
cGtK7bs-TE8,178,1000,1810,Raking leaves
RGVDeXqN1ao,424,4433,4927,Wrapping presents
iiyYRmc1YiA,493,1517,2224,Arm wrestling
ae-aDWHvAGc,71,882,3822,Shuffleboard
Y6UKk3t8Hj8,285,350,908,Doing kickboxing
UCZGbQFg6io,0,117701,117761,Long jump
yBjsQN4fzVY,624,416,4937,Brushing teeth
5qublDzEgsw,85,2386,3920,Futsal
SSLcbqaBiRM,660,2834,6259,Doing motocross
U-N92yQynQA,22350,14484,39548,Playing badminton
fYuJdh9gqr0,388,250,1528,Plastering
9SEc3QVBCo4,0,720,719,Roof shingle removal
5z6q_Ix3kWI,137,2146,4395,Skiing
Jv7AjsdOk2I,89,4067,5705,Skateboarding
3gpgeAMy6a8,10,36816,36859,Kite flying
9nE6C-efQdc,415,337,3544,Rock-paper-scissors
8ZyBER6U9Wc,0,1986,2124,Rope skipping
assDWZW6zTA,1464,876,2969,Layup drill in basketball
98SSjNuSxvM,813,4021,5792,Using the rowing machine
dL9mlqbG5CU,692,4486,5476,Curling
xmvwhxB1q30,5,4795,4805,Canoeing
lgXtDr9pNAk,10,56097,67997,Fixing the roof
c7Rxe5IzUQw,83,4199,4283,Playing guitarra
Ek2OvKMdvys,3793,514,6469,Doing crunches
huI9TvxZxmM,220,2875,3215,Tango
vX8L1RcZ4cc,114,799,1312,Doing karate
Gms3Yt6RrV4,968,3283,4472,Longboarding
_4CLYKFzmoY,0,5794,5793,Playing violin
4-_ZQGwppfI,3247,2419,6713,Braiding hair
BJuL-yK-I8g,331,663,3169,Swimming
JksdZ0YMkoQ,6,3547,3814,Changing car wheel
JgfVp6Estgw,1089,2360,4655,Archery
rojFvhZw_z8,22,3870,4843,Bathing dog
ti3EHJLR2mU,1541,4053,6214,Preparing pasta
bpg2PC2neQM,140,2281,5465,Playing field hockey
gEOVtyRAaFY,1964,32,3513,Clipping cat claws
yWCrbhU_X_U,49,3458,3514,Having an ice cream
oKdzcTnENks,6973,20218,32123,Hopscotch
MFvdMVCzfB0,1552,3443,5717,Brushing teeth
qCnHgcP3tM8,0,3182,3456,Beer pong
62h9hnNTKWM,1658,2194,4061,Using the balance beam
qknJO39WUGk,10,33217,33254,Cleaning sink
00Dk03Jr70M,327,3481,3807,Plastering
00S8I27qDU4,3505,15309,37455,Javelin throw
02V8Hz-M6BM,786,252,1381,Drum corps
02yDi9BaDO8,232,1965,2328,Doing step aerobics
_032TQam_mY,92,1871,2068,Grooming horse
03BMaaMEcNo,320,3663,4668,Surfing
03KTIy44yTo,0,964,962,Blowing leaves
047dUA_39x8,811,1436,2430,Calf roping
04LdesS7Pxk,406,4534,5547,Shaving
06dIgOEgYp0,52278,47087,237666,Snowboarding
-06dWmCzbxY,49,901,982,River tubing
06eyqLosXjU,238,6252,6840,Playing drums
06ofnvq2Hjs,595,5182,6096,Skateboarding
07GFy_Z7Nuc,66,750,1801,Using parallel bars
085A7Iv6xzA,1162,2838,4822,Kayaking
08afjR_3SwI,205,1586,1830,Canoeing
08ItAtlb60Q,982,593,1920,BMX
08uNrWxxHGY,164,5333,5762,Painting
09G6PvM5q9Y,2131,2398,4875,Cleaning shoes
0_9_HIvxNMw,647,4864,5944,Snowboarding
09Kr5TQ9DHQ,731,1541,2930,Skiing
09MaNbzc2TA,248,328,4302,Beach soccer
0acEl97ZBME,7405,16324,102792,Smoking a cigarette
0AjYz-s4Rek,743,182,2045,Ice fishing
0-auIBOTx9E,319,3275,4542,Playing ten pins
0bbL30qENMg,245,127,3029,Washing face
0Bd8Js6Pf6E,162,1853,2041,Playing congas
0bjHe_5nACw,635,93,3734,Playing violin
0bosp4-pyTM,70174,5592,115605,Sharpening knives
